learning_rate,batch_size,gamma,epsilon_decay,target_update,Average Reward,Loss,Training Time
0.001,32,0.95,0.995,10,,,
0.001,32,0.95,0.995,20,,,
0.001,32,0.95,0.999,10,,,
0.001,32,0.95,0.999,20,,,
0.001,32,0.99,0.995,10,,,
0.001,32,0.99,0.995,20,,,
0.001,32,0.99,0.999,10,,,
0.001,32,0.99,0.999,20,,,
0.001,64,0.95,0.995,10,,,
0.001,64,0.95,0.995,20,,,
0.001,64,0.95,0.999,10,,,
0.001,64,0.95,0.999,20,,,
0.001,64,0.99,0.995,10,,,
0.001,64,0.99,0.995,20,,,
0.001,64,0.99,0.999,10,,,
0.001,64,0.99,0.999,20,,,
0.0005,32,0.95,0.995,10,,,
0.0005,32,0.95,0.995,20,,,
0.0005,32,0.95,0.999,10,,,
0.0005,32,0.95,0.999,20,,,
0.0005,32,0.99,0.995,10,,,
0.0005,32,0.99,0.995,20,,,
0.0005,32,0.99,0.999,10,,,
0.0005,32,0.99,0.999,20,,,
0.0005,64,0.95,0.995,10,,,
0.0005,64,0.95,0.995,20,,,
0.0005,64,0.95,0.999,10,,,
0.0005,64,0.95,0.999,20,,,
0.0005,64,0.99,0.995,10,,,
0.0005,64,0.99,0.995,20,,,
0.0005,64,0.99,0.999,10,,,
0.0005,64,0.99,0.999,20,,,
0.0001,32,0.95,0.995,10,,,
0.0001,32,0.95,0.995,20,,,
0.0001,32,0.95,0.999,10,,,
0.0001,32,0.95,0.999,20,,,
0.0001,32,0.99,0.995,10,,,
0.0001,32,0.99,0.995,20,,,
0.0001,32,0.99,0.999,10,,,
0.0001,32,0.99,0.999,20,,,
0.0001,64,0.95,0.995,10,,,
0.0001,64,0.95,0.995,20,,,
0.0001,64,0.95,0.999,10,,,
0.0001,64,0.95,0.999,20,,,
0.0001,64,0.99,0.995,10,,,
0.0001,64,0.99,0.995,20,,,
0.0001,64,0.99,0.999,10,,,
0.0001,64,0.99,0.999,20,,,
